"","Year","DonorCode","DonorName","AgencyCode","AgencyName","CrsID","ProjectNumber","InitialReport","RecipientCode","RecipientName","RegionCode","RegionName","IncomegroupCode","IncomegroupName","FlowCode","FlowName","Bi_Multi","Category","Finance_t","Aid_t","USD_Commitment","USD_Disbursement","USD_Received","USD_Commitment_Defl","USD_Disbursement_Defl","USD_Received_Defl","USD_Adjustment","USD_Adjustment_Defl","USD_AmountUntied","USD_AmountPartialTied","USD_AmountTied","USD_AmountUntied_Defl","USD_AmountPartialTied_Defl","USD_Amounttied_Defl","USD_IRTC","USD_Expert_Commitment","USD_Expert_Extended","USD_Export_Credit","CurrencyCode","Commitment_National","Disbursement_National","GrantEquiv","USD_GrantEquiv","ShortDescription","ProjectTitle","PurposeCode","PurposeName","SectorCode","SectorName","ChannelCode","ChannelName","ChannelReportedName","ParentChannelCode","Geography","ExpectedStartDate","CompletionDate","LongDescription","SDGfocus","Gender","Environment","PDGG","Trade","RMNCH","DRR","Nutrition","Disability","FTC","PBA","InvestmentProject","AssocFinance","Biodiversity","ClimateMitigation","ClimateAdaptation","Desertification","CommitmentDate","TypeRepayment","NumberRepayment","Interest1","Interest2","Repaydate1","Repaydate2","USD_Interest","USD_Outstanding","USD_Arrears_Principal","USD_Arrears_Interest","BudgetIdent","CapitalExpend","PSIflag","PSIAddType","PSIAddAssess","PSIAddDevObj","ID"
"23701",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015001759","201197839",3,431,"Brazil",10006,"South America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,2.21783,0,0,2.38832,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,2.21783,2.21783,2.21783,"GERMAN CLIMATE TECHNOLOGY INITIATIVE - BIOGAS PROJECT","German Climate Technology Initiative - Biogas Project",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","12/11/2012","6/30/2018","The usage of biogas from various sources is widely initiated.","0",0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/11/2012",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",11
"25729",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015003809","201139617",3,218,"South Africa",10003,"South of Sahara",10019,"UMICs",11,"ODA Grants",3,10,110,"B01",0,0.0656683,0,0,0.0707164,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0656683,0.0656683,0.0656683,"AWARENESS RAISING FOR CLIMATE CHANGE AND SUPPORT FOR PILOT PROJECTS TO REDUCE CO2 EMISSIONS","Awareness raising for climate change and support for pilot projects to reduce CO2 emissions",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","1/1/2012","12/31/2015","Öffentliche Bewusstseinskampagne und Förderung von Pilotvorhaben zur Reduzierung von CO2-Emissionen (dritte Phase)","0",0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,"12/15/2011",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",12
"25851",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015003930","201230507",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",3,10,110,"B01",0,0.0443705,0,0,0.0477813,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0443705,0.0443705,0.0443705,"CDM PROJECTS AND SUSTAINABLE DEVELOPMENT IN INDIA - ENABLING PEOPLE S VOICES IN POLICY CHOICES","CDM projects and Sustainable Development in India - Enabling People s Voices in Policy Choices",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","5/1/2012","4/30/2015","Zivilgesellschaftliche Einflussnahme zur Einforderung des Beitrags von CDM-Projekten zu nachhaltiger Entwicklung in Indien","0",1,2,2,0,0,0,0,0,0,0,0,0,1,2,0,0,"5/23/2012",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",13
"25955",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015004034","201232123",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",3,10,110,"B01",0,0.0221853,0,0,0.0238907,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0221853,0.0221853,0.0221853,"CONTESTING CENTRALIZED AGRO-FUEL PROMOTION AND MOVING TOWARDS COMMUNITY BASED ENERGY SECURITY MECHANISMS","Contesting centralized Agro-Fuel promotion and Moving towards community based energy security mechanisms",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","6/1/2012","5/31/2015","Advocacy gegen die Förderung zentralisierter Agroenergieproduktion und für lokale Energiesicherheit und Umweltschutz in Regionen mit indigener Bevölkerung","0",1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,1,"6/21/2012",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",14
"25966",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015004045","201232248",3,218,"South Africa",10003,"South of Sahara",10019,"UMICs",11,"ODA Grants",3,10,110,"B01",0,0.015086,0,0,0.0162457,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.015086,0.015086,0.015086,"CLIMATE CHANGE RELATED AWARENESS RAISING FOR RENEWABLE ENERGY AND SUSTAINABLE WATER USE BY ESTABLISHING DEMONSTRATION AND PILOT SITES","Climate change related awareness raising for renewable energy and sustainable water use by establishing demonstration and pilot sites",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","7/1/2012","12/31/2015","Climate change related awareness raising for renewable energy and sustainable water use by establishing demonstration and pilot sites in poor communities","0",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"6/21/2012",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",15
"26067",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015004146","201233618",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",3,10,110,"B01",0,0.0160843,0,0,0.0173207,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0160843,0.0160843,0.0160843,"ACCESS TO ENERGY FOR INFORMAL SECTOR WOMEN, MANAGEMENT AND EFFICIENCY FOR CLIMATE CHANGE","Access to Energy for Informal Sector Women, Management and Efficiency for Climate Change",41081,"Environmental education/training",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","10/1/2012","9/30/2015","Erleichterung des Zugangs zu Energie für Frauen aus Armensiedlungen um Bhopal, Madhya Pradesh","0",2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,"10/25/2012",0,0,"",0,"","",0,0,0,0,41081,0,0,0,"0","0",16
"26233",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015004311","201275569",3,218,"South Africa",10003,"South of Sahara",10019,"UMICs",11,"ODA Grants",3,10,110,"B01",0,0.140544,0,0,0.151347,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.140544,0.140544,0.140544,"CAPACITY ENHANCING AND CAMPAIGNING FOR ENVIRONMENTAL JUSTICE","Capacity Enhancing and Campaigning for Environmental Justice",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","6/1/2012","11/30/2015","Verbesserung von Umweltstandards durch soziale Mobilisierung, Kampagnen u. Lobby-Arbeit, Fortf.","0",1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,"9/28/2012",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",17
"43025",2015,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2015005854","201530310",1,218,"South Africa",10003,"South of Sahara",10019,"UMICs",11,"ODA Grants",3,10,110,"B01",0.554631,0.12091,0,0.597267,0.130204,0,0,0,0.554631,0,0,0.597267,0,0,0,0,0,0,302,0.554631,0.12091,0.12091,0.12091,"CLIMATE CHANGE AWARENESS RAISING AND PILOT PROJECTS TO REDUCE CARBON EMISSIONS","Climate change awareness raising and pilot projects to reduce Carbon emissions",41081,"Environmental education/training",410,"Gen. Environment Protection",22000,"Donor country-based NGO","Donor country-based NGO",22000,"","4/1/2015","3/31/2018","Öffentliche Bewusstseinskampagne und Förderung von Pilotvorhaben zur Reduzierung von CO2-Emissionen","0",0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,"3/19/2015",0,0,"",0,"","",0,0,0,0,41081,0,0,0,"0","0",18
"45200",2015,5,"Germany",7,"Foreign Office","2015007094","6608270",1,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"D02",0.0277316,0.0276358,0,0.0298633,0.0297602,0,0,0,0.0277316,0,0,0.0298633,0,0,0,0,0,0,302,0.0277316,0.0276358,0.0276358,0.0276358,"CONFERENCE ON ENVIRONMENTAL INNOVATION","Conference on environmental innovation",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",10000,"Public Sector Institutions","Foreign Office",10000,"","3/2/2015","5/30/2015","Identification of relevant factors for success of environmental Technology, enable Sino-German cooperation, presentation of German technologies and solutions","0",0,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",19
"48550",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009703","08_I_025_IN_G_Kältem",8,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0.125828,0.125828,0,0.135501,0.135501,0,0,0,0.105318,0,0.02051,0.113414,0,0.0220867,0,0,0,0,302,0.125828,0.125828,0.125828,0.125828,"CONVERTING A PRODUCTION FACILITY TO THE MANUFACTURE OF CLIMATE-FRIENDLY AIR-CONDITIONING EQUIPMENT","Converting a Production Facility to the Manufacture of Climate-Friendly Air-Conditioning Equipment",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",10000,"Public Sector Institutions","GIZ",10000,"","11/11/2008","12/31/2015","The project has converted the production of air-conditioning systems by an Indian manufacturer from HCFCs to natural climate-friendly refrigerants (hydrocarbons), thereby establishing a best-practice model. The manufacture of energy-efficient models was a further aim. The project included training for production & service technicians to foster skills in the safe handling of flammable refrigerants and maintenance of the equipment.An action plan has been developed to promote the market launch of energy-efficient, F-gas-free air-conditioning equipment (i.a. development of financial instruments).","0",0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",20
"48552",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009705","08_I_027_BR_G_Kühlsc",8,431,"Brazil",10006,"South America",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.048807,0.048807,0,0.0525589,0.0525589,0,0,0,0.0408515,0,0.00795554,0.0439918,0,0.0085671,0,0,0,0,302,0.048807,0.048807,0.048807,0.048807,"SETTING UP A RECYCLING FACILITY FOR OLD REFRIGERATORS IN BRAZIL","Setting up a recycling facility for old refrigerators in Brazil",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",10000,"Public Sector Institutions","GIZ",10000,"","11/7/2008","12/31/2015","Setting up a recycling facility for old refrigerators in Brazil, which will serve as a best practice model.","0",0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",21
"48560",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009713","09_I_121_ZAF_G_DEAT",3,218,"South Africa",10003,"South of Sahara",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.0334968,0,0,0.0360717,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.0334968,0.0334968,0.0334968,"DEVELOPING CLIMATE POLICY CAPACITY WITHIN THE SOUTH AFRICAN DEPARTMENT OF ENVIRONMENTAL AFFAIRS AND TOURISM (DEAT)","Developing Climate Policy Capacity within the South African Department of Environmental Affairs and Tourism (DEAT)",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",10000,"Public Sector Institutions","GIZ",10000,"","11/1/2009","12/31/2015","The project strengthened South Africa's Department of Environmental Affairs (DEA) and increased its capacity to conduct analyses, develop policy and forge consensus. This allowes to implement its climate policy in an effective manner. Furthermore, the project was helping South Africa to formulate its national climate strategy, develop long-term adaptation scenarios, and model and develop economic instruments designed to reduce greenhouse gas emissions. In addition, the project provided advisory support to the South African government in its preparations for international climate negotiations.","0",1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"11/9/2009",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",22
"48561",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009714","09_I_115_CHN_G_Elekt",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0,0.906787,0,0,0.976493,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.906787,0.906787,0.906787,"CLIMATE PROTECTION AND ELECTRIC VEHICLES IN CHINA - FIELD TESTS, CASE STUDIES AND POLICY ADVICE ON INTEGRATING RENEWABLES INTO THE GROWTH MARKET","Climate Protection and Electric Vehicles in China - Field Tests, Case Studies and Policy Advice on Integrating Renewables into the Growth Market",21010,"Transport policy and administrative management",210,"Transport and Storage",10000,"Public Sector Institutions","GIZ",10000,"","12/1/2009","1/31/2016","Support for relevant decision-makers in developing strategies for rolling out electric transport to reduce levels of greenhouse gases. That includes renewable energy grid integration, using intelligent grid and charging technologies (smart grids), for example. To this end, model and pilot projects will be supported, analyses and studies conducted, and dialogue initiated.","0",0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/1/2009",0,0,"",0,"","",0,0,0,0,21010,0,0,0,"0","0",23
"48563",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009716","09_I_118_IND_G_Excel",3,645,"India",10009,"South & Central Asia",10018,"LMICs",11,"ODA Grants",1,10,110,"C01",0,0.410199,0,0,0.441732,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0.410199,0.410199,0.410199,"EXCELLENCE ENHANCEMENT CENTER - INDIA","Excellence Enhancement Center - India",23110,"Energy policy and administrative management",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","12/1/2009","9/30/2015","The aim is a significant increase in efficiency of electricity and heat generation plants, which in turn will make a sustainable contribution to reducing India s CO2 emissions. The EEC will organise regular meetings between representatives of the Indian energy sector and German experts, issue publications and launch joint research and development initiatives.","0",0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/16/2009",0,0,"",0,"","",0,0,0,0,23110,0,0,0,"0","0",24
"48565",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009718","10_I_139_CHN_G_Low C",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.0135129,0.0436974,0,0.0145516,0.0470565,0,0,0,0.0113103,0,0.0022026,0.0121797,0,0.00237192,0,0,0,0,302,0.0135129,0.0436974,0.0436974,0.0436974,"LOW CARBON DEVELOPMENT ACHIEVED THROUGH ENERGY EFFICIENCY MEASURES IN JIANGSU PROVINCE","Low Carbon Development Achieved Through Energy Efficiency Measures in Jiangsu Province",23183,"Energy conservation and demand-side efficiency",231,"Energy",10000,"Public Sector Institutions","GIZ",10000,"","12/1/2010","1/31/2015","The project developed strategies to reduce greenhouse gas (GHG) emissions and provided assistance implementing them. Its efforts focused primarily on increasing energy efficiency in Jiangsu Province and in selected cities and industrial zones. Training measures provided decision-makers in municipal administrations and technical staff with the tools needed to identify and assess energy-efficient solutions in buildings and industry. Pilot projects provided a showcase for the application of energy-efficient solutions/technologies and the development of products for the housing sector.","0",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,23183,0,0,0,"0","0",25
"48566",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009719","10_I_140_CHN_G_Trans",3,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.0162935,0.0356643,0,0.017546,0.0384059,0,0,0,0.0136376,0,0.00265584,0.014686,0,0.00286,0,0,0,0,302,0.0162935,0.0356643,0.0356643,0.0356643,"TRANSPORTATION DEMAND MANAGEMENT IN BEIJING,SECTOR-ORIENTED DEVELOPMENT OF URBAN NATIONALLY APPROPRIATE MITIGATION ACTIONS FOCUSING ON TRANSPORTATION","Transportation Demand Management in Beijing,Sector-oriented Development of Urban Nationally Appropriate Mitigation Actions Focusing on Transportation",21010,"Transport policy and administrative management",210,"Transport and Storage",10000,"Public Sector Institutions","GIZ",10000,"","1/1/2011","2/28/2015","The project aims to improve transport demand management in Beijing in order to manage the steadily increasing traffic density. The project provides capacity building for decision-makers and transport planners to enable them to calculate baselines and assess reduction potentials as like to support the production of transport plans and the implementation of transport demand management measures.","0",0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,21010,0,0,0,"0","0",26
"48584",2015,5,"Germany",9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009737","11_I_137_CHN_G_chine",8,730,"China",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"C01",0.00981229,0.00981229,0,0.0105666,0.0105666,0,0,0,0.00821289,0,0.0015994,0.00884423,0,0.00172235,0,0,0,0,302,0.00981229,0.00981229,0.00981229,0.00981229,"SINO-GERMAN CLIMATE PARTNERSHIP","Sino-German Climate Partnership",41010,"Environmental policy and administrative management",410,"Gen. Environment Protection",10000,"Public Sector Institutions","GIZ",10000,"","2/1/2011","12/31/2015","The project promotes dialogue on policy options and measures for both tackling climate change and adapting to climate change in China and Germany. It also encourages discussion on potential international climate change mitigation agreements as well as the exchange of ideas on the framework and management mechanisms required to establish a low-carbon economy.","0",0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,"12/31/2015",0,0,"",0,"","",0,0,0,0,41010,0,0,0,"0","0",27
