"","Recipient","DonorName","flow_type","year","Value"
"698","Vietnam","Germany","Commitments",2015,1.103196
"699","Vietnam","Germany","Commitments",2015,0.013145
"700","Vietnam","Germany","Commitments",2015,27.731559
"701","Brazil","Japan","Commitments",2015,0.027764
"703","Brazil","Japan","Commitments",2015,0.362601
"707","Brazil","Japan","Commitments",2015,0.001113
"712","Brazil","Japan","Commitments",2015,0.099716
"714","Brazil","Japan","Commitments",2015,0.459742
"717","China","Japan","Commitments",2015,0.006297
"726","China","Japan","Commitments",2015,0.443567
"729","India","Japan","Commitments",2015,1.703372
"730","India","Japan","Commitments",2015,1.158353
"731","India","Japan","Commitments",2015,1.057308
"735","India","Japan","Commitments",2015,0.125245
"740","India","Japan","Commitments",2015,0.465731
"742","India","Japan","Commitments",2015,0.017105
"743","Indonesia","Japan","Commitments",2015,1.793376
"744","Indonesia","Japan","Commitments",2015,0.621856
"745","Indonesia","Japan","Commitments",2015,1.432511
"749","Indonesia","Japan","Commitments",2015,0.338177
"754","Indonesia","Japan","Commitments",2015,3.61392
"756","Indonesia","Japan","Commitments",2015,0.006272
"759","Mexico","Japan","Commitments",2015,0.022713
"763","Mexico","Japan","Commitments",2015,0.008125
"768","Mexico","Japan","Commitments",2015,0.056941
"770","Mexico","Japan","Commitments",2015,0.002708
"771","Pakistan","Japan","Commitments",2015,0.061958
"772","Pakistan","Japan","Commitments",2015,0.008457
"773","Pakistan","Japan","Commitments",2015,3.634589
"777","Pakistan","Japan","Commitments",2015,0.125187
"782","Pakistan","Japan","Commitments",2015,0.027157
"785","Philippines","Japan","Commitments",2015,2.317835
"786","Philippines","Japan","Commitments",2015,0.624374
"787","Philippines","Japan","Commitments",2015,1.43345
"791","Philippines","Japan","Commitments",2015,0.046299
"794","Philippines","Japan","Commitments",2015,0.019855
"796","Philippines","Japan","Commitments",2015,0.220526
"798","Philippines","Japan","Commitments",2015,0.087462
"799","South Africa","Japan","Commitments",2015,0.005574
"801","South Africa","Japan","Commitments",2015,0.009354
"813","Thailand","Japan","Commitments",2015,0.022173
"815","Thailand","Japan","Commitments",2015,0.90071
"819","Thailand","Japan","Commitments",2015,0.05836
"824","Thailand","Japan","Commitments",2015,1.260246
"826","Thailand","Japan","Commitments",2015,0.020968
"827","Vietnam","Japan","Commitments",2015,2.477616
"828","Vietnam","Japan","Commitments",2015,0.87852
"829","Vietnam","Japan","Commitments",2015,2.974517
"833","Vietnam","Japan","Commitments",2015,1.376502
"836","Vietnam","Japan","Commitments",2015,0.011481
"838","Vietnam","Japan","Commitments",2015,127.041693
"840","Vietnam","Japan","Commitments",2015,1.687613
"852","Brazil","Korea","Commitments",2015,0.003453
"866","China","Korea","Commitments",2015,2
"869","India","Korea","Commitments",2015,0.0151
"883","Indonesia","Korea","Commitments",2015,0.335962
"885","Indonesia","Korea","Commitments",2015,0.113029
"888","Indonesia","Korea","Commitments",2015,0.220982
"890","Indonesia","Korea","Commitments",2015,0.265179
"893","Indonesia","Korea","Commitments",2015,1.478724
"894","Indonesia","Korea","Commitments",2015,0.014074
"896","Indonesia","Korea","Commitments",2015,0.142157
"908","Mexico","Korea","Commitments",2015,0.008633
"911","Pakistan","Korea","Commitments",2015,0.028345
"916","Pakistan","Korea","Commitments",2015,0.194464
"921","Pakistan","Korea","Commitments",2015,0.043258
"935","Philippines","Korea","Commitments",2015,0.336291
"938","Philippines","Korea","Commitments",2015,0.755356
"939","South Africa","Korea","Commitments",2015,0.006466
"952","South Africa","Korea","Commitments",2015,0.01169
"953","Thailand","Korea","Commitments",2015,0.011427
"955","Thailand","Korea","Commitments",2015,0.004686
"959","Thailand","Korea","Commitments",2015,0.210375
"967","Vietnam","Korea","Commitments",2015,6.504394
"969","Vietnam","Korea","Commitments",2015,0.005267
"972","Vietnam","Korea","Commitments",2015,0.055776
"973","Vietnam","Korea","Commitments",2015,0.256044
"974","Vietnam","Korea","Commitments",2015,6.859303
"977","Vietnam","Korea","Commitments",2015,0.57499
"978","Vietnam","Korea","Commitments",2015,0.223612
"980","Vietnam","Korea","Commitments",2015,6.577844
"1146","China","Sweden","Commitments",2015,0.055487
"1160","India","Sweden","Commitments",2015,0.040172
"1174","Indonesia","Sweden","Commitments",2015,0.005389
"1216","Philippines","Sweden","Commitments",2015,0.004828
"1258","Vietnam","Sweden","Commitments",2015,0.007362
"1300","India","Switzerland","Commitments",2015,8.313415
"1331","Pakistan","Switzerland","Commitments",2015,1.558765
"1342","Pakistan","Switzerland","Commitments",2015,0.415671
"1370","South Africa","Switzerland","Commitments",2015,1.066337
"1372","South Africa","Switzerland","Commitments",2015,8.417333
"1400","Vietnam","Switzerland","Commitments",2015,16.623714
"1401","Brazil","UK","Commitments",2015,0.114859
"1407","Brazil","UK","Commitments",2015,0.17724
"1408","Brazil","UK","Commitments",2015,0.16639
"1412","Brazil","UK","Commitments",2015,0.903937
"1413","Brazil","UK","Commitments",2015,0.031714
"1414","Brazil","UK","Commitments",2015,2.563148
"1415","China","UK","Commitments",2015,0.111805
"1416","China","UK","Commitments",2015,0.114738
"1417","China","UK","Commitments",2015,0.103321
"1421","China","UK","Commitments",2015,0.077752
"1423","China","UK","Commitments",2015,0.044691
"1426","China","UK","Commitments",2015,3.108146
"1427","China","UK","Commitments",2015,0.120652
"1428","China","UK","Commitments",2015,0.437433
"1429","India","UK","Commitments",2015,0.135982
"1431","India","UK","Commitments",2015,0.238296
"1439","India","UK","Commitments",2015,0.015422
"1440","India","UK","Commitments",2015,1.95349
"1442","India","UK","Commitments",2015,33.829729
"1451","Indonesia","UK","Commitments",2015,0.050698
"1452","Indonesia","UK","Commitments",2015,0.115635
"1454","Indonesia","UK","Commitments",2015,3.467879
"1457","Mexico","UK","Commitments",2015,0.071716
"1459","Mexico","UK","Commitments",2015,0.099538
"1463","Mexico","UK","Commitments",2015,0.021314
"1464","Mexico","UK","Commitments",2015,0.056749
"1465","Mexico","UK","Commitments",2015,0.087075
"1466","Mexico","UK","Commitments",2015,0.005924
"1467","Mexico","UK","Commitments",2015,0.091338
"1468","Mexico","UK","Commitments",2015,0.558369
"1470","Mexico","UK","Commitments",2015,0.142404
"1471","Pakistan","UK","Commitments",2015,0.000764
"1494","Philippines","UK","Commitments",2015,0.046614
"1496","Philippines","UK","Commitments",2015,0.767635
"1501","South Africa","UK","Commitments",2015,0.114696
"1506","South Africa","UK","Commitments",2015,0.006108
"1510","South Africa","UK","Commitments",2015,0.347902
"1512","South Africa","UK","Commitments",2015,2.481259
"1524","Thailand","UK","Commitments",2015,0.030508
"1527","Vietnam","UK","Commitments",2015,0.024654
"1528","Vietnam","UK","Commitments",2015,0.032744
"1538","Vietnam","UK","Commitments",2015,0.151341
"1539","Vietnam","UK","Commitments",2015,0.283755
"1541","Brazil","USA","Commitments",2015,0.075
"1542","Brazil","USA","Commitments",2015,0.938192
"1543","Brazil","USA","Commitments",2015,0.242827
"1555","China","USA","Commitments",2015,0.84372
"1556","China","USA","Commitments",2015,2.301437
"1559","China","USA","Commitments",2015,0.859188
"1560","China","USA","Commitments",2015,1.181516
"1566","China","USA","Commitments",2015,0.166344
"1568","China","USA","Commitments",2015,0.248858
"1569","India","USA","Commitments",2015,1.230556
"1570","India","USA","Commitments",2015,0.381532
"1578","India","USA","Commitments",2015,0.83655
"1582","India","USA","Commitments",2015,0.751875
"1583","Indonesia","USA","Commitments",2015,0.090538
"1585","Indonesia","USA","Commitments",2015,0.206565
"1594","Indonesia","USA","Commitments",2015,0.073073
"1598","Mexico","USA","Commitments",2015,0.045225
"1608","Mexico","USA","Commitments",2015,1.42362
"1609","Mexico","USA","Commitments",2015,0.12
"1611","Pakistan","USA","Commitments",2015,31.005171
"1613","Pakistan","USA","Commitments",2015,108.464397
"1625","Philippines","USA","Commitments",2015,1.36234
"1626","Philippines","USA","Commitments",2015,0.364
"1636","Philippines","USA","Commitments",2015,0.990913
"1640","South Africa","USA","Commitments",2015,0.220035
"1641","South Africa","USA","Commitments",2015,0.487669
"1668","Vietnam","USA","Commitments",2015,0.565534
"1690","Brazil","Australia","Disbursements",2015,0.003749
"1723","Indonesia","Australia","Disbursements",2015,1.350244
"1724","Indonesia","Australia","Disbursements",2015,0.086603
"1725","Indonesia","Australia","Disbursements",2015,2.254114
"1732","Indonesia","Australia","Disbursements",2015,1.098294
"1734","Indonesia","Australia","Disbursements",2015,7.263258
"1736","Indonesia","Australia","Disbursements",2015,24.495386
"1765","Philippines","Australia","Disbursements",2015,0.004275
"1766","Philippines","Australia","Disbursements",2015,0.096048
"1774","Philippines","Australia","Disbursements",2015,0.290466
"1776","Philippines","Australia","Disbursements",2015,0.200368
"1788","South Africa","Australia","Disbursements",2015,0.026268
"1793","Thailand","Australia","Disbursements",2015,0.004275
"1794","Thailand","Australia","Disbursements",2015,0.086603
"1807","Vietnam","Australia","Disbursements",2015,0.846262
"1816","Vietnam","Australia","Disbursements",2015,0.007506
"1834","Brazil","Canada","Disbursements",2015,0.009599
"1846","China","Canada","Disbursements",2015,1.253602
"1856","India","Canada","Disbursements",2015,0.019557
"1860","India","Canada","Disbursements",2015,0.133294
"1862","India","Canada","Disbursements",2015,0.025526
"1863","Indonesia","Canada","Disbursements",2015,0.690605
"1865","Indonesia","Canada","Disbursements",2015,0.345302
"1872","Indonesia","Canada","Disbursements",2015,2.742291
"1874","Indonesia","Canada","Disbursements",2015,0.700094
"1875","Indonesia","Canada","Disbursements",2015,0.182298
"1902","Pakistan","Canada","Disbursements",2015,0.179207
"1916","Philippines","Canada","Disbursements",2015,0.117343
"1917","Philippines","Canada","Disbursements",2015,0.018777
"1921","South Africa","Canada","Disbursements",2015,0.004694
"1930","South Africa","Canada","Disbursements",2015,0.002402
"1931","South Africa","Canada","Disbursements",2015,0.005132
"1932","South Africa","Canada","Disbursements",2015,0.009599
"1958","Vietnam","Canada","Disbursements",2015,0.098529
"1959","Vietnam","Canada","Disbursements",2015,0.00104
"1960","Vietnam","Canada","Disbursements",2015,0.000743
"1977","China","Denmark","Disbursements",2015,0.518404
"1979","China","Denmark","Disbursements",2015,0.032461
"1986","China","Denmark","Disbursements",2015,0.08925
"2005","Indonesia","Denmark","Disbursements",2015,0.000155
"2014","Indonesia","Denmark","Disbursements",2015,3.639578
"2019","Mexico","Denmark","Disbursements",2015,0.013045
"2021","Mexico","Denmark","Disbursements",2015,0.028978
"2028","Mexico","Denmark","Disbursements",2015,2.659107
"2034","Pakistan","Denmark","Disbursements",2015,0.037137
"2070","South Africa","Denmark","Disbursements",2015,1.844408
"2084","Thailand","Denmark","Disbursements",2015,0.073973
"2089","Vietnam","Denmark","Disbursements",2015,0.42174
"2098","Vietnam","Denmark","Disbursements",2015,1.392128
"2112","Brazil","France","Disbursements",2015,14.422629
"2113","Brazil","France","Disbursements",2015,0.099834
"2114","Brazil","France","Disbursements",2015,0.09096
"2126","China","France","Disbursements",2015,18.693289
"2127","China","France","Disbursements",2015,0.003328
"2128","China","France","Disbursements",2015,0.473589
"2139","India","France","Disbursements",2015,0.122019
"2140","India","France","Disbursements",2015,11.092623
"2142","India","France","Disbursements",2015,0.016639
"2143","Indonesia","France","Disbursements",2015,0.016639
"2145","Indonesia","France","Disbursements",2015,155.296728
"2146","Indonesia","France","Disbursements",2015,0.238491
"2154","Indonesia","France","Disbursements",2015,10.444814
"2155","Indonesia","France","Disbursements",2015,0.043261
"2159","Mexico","France","Disbursements",2015,0.048808
"2170","Mexico","France","Disbursements",2015,0.003328
"2182","Pakistan","France","Disbursements",2015,1.863561
"2186","Philippines","France","Disbursements",2015,0.805324
"2210","South Africa","France","Disbursements",2015,53.647254
"2212","South Africa","France","Disbursements",2015,129.355519
"2238","Vietnam","France","Disbursements",2015,22.482208
"2239","Vietnam","France","Disbursements",2015,0.082585
"2240","Vietnam","France","Disbursements",2015,5.78924
"2241","Brazil","Germany","Disbursements",2015,146.977276
"2243","Brazil","Germany","Disbursements",2015,6.554853
"2244","Brazil","Germany","Disbursements",2015,0.106533
"2245","Brazil","Germany","Disbursements",2015,0.016639
"2249","Brazil","Germany","Disbursements",2015,0.467608
"2252","Brazil","Germany","Disbursements",2015,3.586942
"2254","Brazil","Germany","Disbursements",2015,1.337918
"2255","China","Germany","Disbursements",2015,1.748053
"2257","China","Germany","Disbursements",2015,11.665928
"2258","China","Germany","Disbursements",2015,0.849267
"2260","China","Germany","Disbursements",2015,1.094164
"2263","China","Germany","Disbursements",2015,0.773387
"2265","China","Germany","Disbursements",2015,0.000998
"2266","China","Germany","Disbursements",2015,4.302355
"2267","China","Germany","Disbursements",2015,1.011059
"2268","China","Germany","Disbursements",2015,0.490757
"2269","India","Germany","Disbursements",2015,0.648512
"2271","India","Germany","Disbursements",2015,70.711064
"2273","India","Germany","Disbursements",2015,0.515915
"2277","India","Germany","Disbursements",2015,0.846513
"2279","India","Germany","Disbursements",2015,0.001553
"2280","India","Germany","Disbursements",2015,6.333514
"2281","India","Germany","Disbursements",2015,0.230829
"2282","India","Germany","Disbursements",2015,11.783164
"2283","Indonesia","Germany","Disbursements",2015,0.847642
"2285","Indonesia","Germany","Disbursements",2015,209.185178
"2286","Indonesia","Germany","Disbursements",2015,0.051658
"2287","Indonesia","Germany","Disbursements",2015,0.139315
"2291","Indonesia","Germany","Disbursements",2015,0.207686
"2294","Indonesia","Germany","Disbursements",2015,5.499885
"2295","Indonesia","Germany","Disbursements",2015,0.01103
"2296","Indonesia","Germany","Disbursements",2015,0.987735
"2299","Mexico","Germany","Disbursements",2015,2.696683
"2301","Mexico","Germany","Disbursements",2015,0.058339
"2305","Mexico","Germany","Disbursements",2015,0.00796
"2308","Mexico","Germany","Disbursements",2015,4.795456
"2336","Philippines","Germany","Disbursements",2015,2.300987
"2338","Philippines","Germany","Disbursements",2015,0.0599
"2341","South Africa","Germany","Disbursements",2015,39.82421
"2342","South Africa","Germany","Disbursements",2015,0.042152
"2347","South Africa","Germany","Disbursements",2015,0.115569
"2348","South Africa","Germany","Disbursements",2015,0.266373
"2350","South Africa","Germany","Disbursements",2015,4.78042
"2351","South Africa","Germany","Disbursements",2015,0.12091
"2352","South Africa","Germany","Disbursements",2015,1.74292
"2355","Thailand","Germany","Disbursements",2015,0.945696
"2356","Thailand","Germany","Disbursements",2015,0.138514
"2357","Thailand","Germany","Disbursements",2015,0.001379
"2361","Thailand","Germany","Disbursements",2015,0.007239
"2364","Thailand","Germany","Disbursements",2015,1.365709
"2365","Thailand","Germany","Disbursements",2015,0.037826
"2367","Vietnam","Germany","Disbursements",2015,0.552573
"2369","Vietnam","Germany","Disbursements",2015,0.303439
"2370","Vietnam","Germany","Disbursements",2015,0.042152
"2376","Vietnam","Germany","Disbursements",2015,0.314076
"2378","Vietnam","Germany","Disbursements",2015,3.995357
"2379","Vietnam","Germany","Disbursements",2015,0.012258
"2380","Vietnam","Germany","Disbursements",2015,2.961011
"2381","Brazil","Japan","Disbursements",2015,0.027619
"2383","Brazil","Japan","Disbursements",2015,0.360712
"2387","Brazil","Japan","Disbursements",2015,0.001107
"2392","Brazil","Japan","Disbursements",2015,0.099196
"2394","Brazil","Japan","Disbursements",2015,0.457347
"2397","China","Japan","Disbursements",2015,0.006264
"2406","China","Japan","Disbursements",2015,6.906919
"2408","China","Japan","Disbursements",2015,9.876837
"2409","India","Japan","Disbursements",2015,1.694497
"2410","India","Japan","Disbursements",2015,1.152317
"2411","India","Japan","Disbursements",2015,1.051798
"2415","India","Japan","Disbursements",2015,24.91751
"2420","India","Japan","Disbursements",2015,0.463305
"2422","India","Japan","Disbursements",2015,0.017017
"2423","Indonesia","Japan","Disbursements",2015,1.784032
"2424","Indonesia","Japan","Disbursements",2015,0.618617
"2425","Indonesia","Japan","Disbursements",2015,1.425047
"2429","Indonesia","Japan","Disbursements",2015,0.336415
"2434","Indonesia","Japan","Disbursements",2015,3.595088
"2436","Indonesia","Japan","Disbursements",2015,0.00624
"2439","Mexico","Japan","Disbursements",2015,0.022595
"2443","Mexico","Japan","Disbursements",2015,0.008082
"2448","Mexico","Japan","Disbursements",2015,0.056643
"2450","Mexico","Japan","Disbursements",2015,0.002694
"2451","Pakistan","Japan","Disbursements",2015,0.061635
"2452","Pakistan","Japan","Disbursements",2015,12.458549
"2453","Pakistan","Japan","Disbursements",2015,3.61565
"2457","Pakistan","Japan","Disbursements",2015,0.124534
"2462","Pakistan","Japan","Disbursements",2015,0.027016
"2465","Philippines","Japan","Disbursements",2015,29.178057
"2466","Philippines","Japan","Disbursements",2015,48.034434
"2467","Philippines","Japan","Disbursements",2015,1.425981
"2471","Philippines","Japan","Disbursements",2015,0.046057
"2474","Philippines","Japan","Disbursements",2015,0.019752
"2476","Philippines","Japan","Disbursements",2015,0.219376
"2478","Philippines","Japan","Disbursements",2015,0.087007
"2479","South Africa","Japan","Disbursements",2015,0.005545
"2481","South Africa","Japan","Disbursements",2015,0.009305
"2493","Thailand","Japan","Disbursements",2015,0.022058
"2495","Thailand","Japan","Disbursements",2015,0.896016
"2499","Thailand","Japan","Disbursements",2015,0.058056
"2504","Thailand","Japan","Disbursements",2015,1.253678
"2506","Thailand","Japan","Disbursements",2015,0.02086
"2507","Vietnam","Japan","Disbursements",2015,2.464705
"2508","Vietnam","Japan","Disbursements",2015,29.927522
"2509","Vietnam","Japan","Disbursements",2015,2.959018
"2513","Vietnam","Japan","Disbursements",2015,1.369329
"2516","Vietnam","Japan","Disbursements",2015,0.011421
"2518","Vietnam","Japan","Disbursements",2015,128.916285
"2520","Vietnam","Japan","Disbursements",2015,31.729322
"2532","Brazil","Korea","Disbursements",2015,0.003453
"2546","China","Korea","Disbursements",2015,0.560499
"2549","India","Korea","Disbursements",2015,0.0151
"2563","Indonesia","Korea","Disbursements",2015,1.605514
"2565","Indonesia","Korea","Disbursements",2015,0.067817
"2568","Indonesia","Korea","Disbursements",2015,0.220982
"2569","Indonesia","Korea","Disbursements",2015,0.039506
"2570","Indonesia","Korea","Disbursements",2015,0.265179
"2571","Indonesia","Korea","Disbursements",2015,0.00011
"2573","Indonesia","Korea","Disbursements",2015,1.478724
"2574","Indonesia","Korea","Disbursements",2015,0.18954
"2576","Indonesia","Korea","Disbursements",2015,0.142157
"2588","Mexico","Korea","Disbursements",2015,0.008633
"2591","Pakistan","Korea","Disbursements",2015,0.028345
"2596","Pakistan","Korea","Disbursements",2015,0.194464
"2601","Pakistan","Korea","Disbursements",2015,0.043258
"2606","Philippines","Korea","Disbursements",2015,13.004806
"2607","Philippines","Korea","Disbursements",2015,2.166955
"2615","Philippines","Korea","Disbursements",2015,0.235501
"2618","Philippines","Korea","Disbursements",2015,0.282038
"2619","South Africa","Korea","Disbursements",2015,0.006466
"2632","South Africa","Korea","Disbursements",2015,0.01169
"2633","Thailand","Korea","Disbursements",2015,0.011427
"2635","Thailand","Korea","Disbursements",2015,0.004686
"2639","Thailand","Korea","Disbursements",2015,0.03376
"2647","Vietnam","Korea","Disbursements",2015,0.403598
"2649","Vietnam","Korea","Disbursements",2015,0.005267
"2652","Vietnam","Korea","Disbursements",2015,0.055776
"2653","Vietnam","Korea","Disbursements",2015,0.256044
"2654","Vietnam","Korea","Disbursements",2015,6.859303
"2657","Vietnam","Korea","Disbursements",2015,0.056767
"2658","Vietnam","Korea","Disbursements",2015,10.988616
"2660","Vietnam","Korea","Disbursements",2015,2.6753
"2706","Indonesia","Netherlands","Disbursements",2015,2.212225
"2805","Brazil","Sweden","Disbursements",2015,0.26601
"2812","Brazil","Sweden","Disbursements",2015,0.532181
"2826","China","Sweden","Disbursements",2015,0.099835
"2833","India","Sweden","Disbursements",2015,0.152918
"2840","India","Sweden","Disbursements",2015,0.195391
"2847","Indonesia","Sweden","Disbursements",2015,0.182587
"2854","Indonesia","Sweden","Disbursements",2015,0.11626
"2896","Philippines","Sweden","Disbursements",2015,0.357971
"2910","South Africa","Sweden","Disbursements",2015,0.559446
"2917","Thailand","Sweden","Disbursements",2015,0.031319
"2924","Thailand","Sweden","Disbursements",2015,0.199568
"2938","Vietnam","Sweden","Disbursements",2015,0.008054
"2966","China","Switzerland","Disbursements",2015,4.804038
"2967","China","Switzerland","Disbursements",2015,0.207835
"2980","India","Switzerland","Disbursements",2015,2.903099
"2994","Indonesia","Switzerland","Disbursements",2015,0.421753
"2996","Indonesia","Switzerland","Disbursements",2015,0.174893
"3011","Pakistan","Switzerland","Disbursements",2015,0.207835
"3022","Pakistan","Switzerland","Disbursements",2015,0.231084
"3044","South Africa","Switzerland","Disbursements",2015,2.082511
"3050","South Africa","Switzerland","Disbursements",2015,0.311753
"3052","South Africa","Switzerland","Disbursements",2015,2.980671
"3078","Vietnam","Switzerland","Disbursements",2015,0.265382
"3080","Vietnam","Switzerland","Disbursements",2015,4.42944
"3081","Brazil","UK","Disbursements",2015,0.114859
"3087","Brazil","UK","Disbursements",2015,0.17724
"3088","Brazil","UK","Disbursements",2015,0.16639
"3092","Brazil","UK","Disbursements",2015,0.903937
"3093","Brazil","UK","Disbursements",2015,0.031714
"3094","Brazil","UK","Disbursements",2015,0.615061
"3095","China","UK","Disbursements",2015,0.111805
"3096","China","UK","Disbursements",2015,0.114738
"3097","China","UK","Disbursements",2015,0.103321
"3101","China","UK","Disbursements",2015,0.077752
"3103","China","UK","Disbursements",2015,0.044691
"3106","China","UK","Disbursements",2015,3.108146
"3107","China","UK","Disbursements",2015,0.120652
"3108","China","UK","Disbursements",2015,0.437433
"3109","India","UK","Disbursements",2015,0.135982
"3111","India","UK","Disbursements",2015,0.201648
"3119","India","UK","Disbursements",2015,0.015422
"3120","India","UK","Disbursements",2015,2.568599
"3122","India","UK","Disbursements",2015,60.648023
"3123","Indonesia","UK","Disbursements",2015,0.451218
"3125","Indonesia","UK","Disbursements",2015,0.048584
"3131","Indonesia","UK","Disbursements",2015,0.050698
"3132","Indonesia","UK","Disbursements",2015,0.115635
"3134","Indonesia","UK","Disbursements",2015,3.699099
"3137","Mexico","UK","Disbursements",2015,0.071716
"3139","Mexico","UK","Disbursements",2015,0.099538
"3143","Mexico","UK","Disbursements",2015,0.021314
"3144","Mexico","UK","Disbursements",2015,0.056749
"3145","Mexico","UK","Disbursements",2015,0.087075
"3146","Mexico","UK","Disbursements",2015,0.005924
"3147","Mexico","UK","Disbursements",2015,0.091338
"3148","Mexico","UK","Disbursements",2015,0.558369
"3150","Mexico","UK","Disbursements",2015,0.142404
"3151","Pakistan","UK","Disbursements",2015,0.000764
"3174","Philippines","UK","Disbursements",2015,0.046614
"3176","Philippines","UK","Disbursements",2015,2.277547
"3181","South Africa","UK","Disbursements",2015,0.114696
"3186","South Africa","UK","Disbursements",2015,0.006108
"3190","South Africa","UK","Disbursements",2015,7.258969
"3192","South Africa","UK","Disbursements",2015,0.056437
"3204","Thailand","UK","Disbursements",2015,0.030508
"3207","Vietnam","UK","Disbursements",2015,0.024654
"3208","Vietnam","UK","Disbursements",2015,0.032744
"3218","Vietnam","UK","Disbursements",2015,0.151341
"3219","Vietnam","UK","Disbursements",2015,0.283755
