"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2019 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2019 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2019 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2019 USD thousand","Channel of Delivery Code","Channel of Delivery","Purpose Code","Sector (detailed)","Sub-sector","Development Cooperation Modality","Financial Instrument","Type of Finance","Project Title","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",0,0,22500,22500,NA,NA,22500,22500,46004,"Asian Development Bank",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.75,"Significant",6411
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",7500,7500,0,0,NA,NA,7500,7500,46004,"Asian Development Bank",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.25,"Significant",6412
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",0,0,15000,15000,NA,NA,15000,15000,46004,"Asian Development Bank",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.75,"Significant",6413
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",5000,5000,0,0,NA,NA,5000,5000,46004,"Asian Development Bank",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.25,"Significant",6414
2019,"Multilateral development bank","AsDB","Asian Development Bank",915,13,"Financial Sector Development Partnership Special Fund",2019003280,"TA9759-PRC","China (People's Republic of)",730,"Asia","UMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,30.5211375,30.5211375,NA,NA,30.5211375,30.5211375,12000,"Recipient Government",43030,"IV.2. Other Multisector","Urban development and management","D02","Grant",110,"STUDY ON THE MUNICIPAL CLIMATE FINANCE ROADMAP","Study on the Municipal Climate Finance Roadmap",0,0.5,"Not Targeted",518
2019,"Multilateral development bank","AsDB","Asian Development Bank",915,13,"Financial Sector Development Partnership Special Fund",2019003280,"TA9759-PRC","China (People's Republic of)",730,"Asia","UMICs","Concessional and developmental","Climate components","Climate components","Climate components",30.5211375,30.5211375,0,0,NA,NA,30.5211375,30.5211375,12000,"Recipient Government",43030,"IV.2. Other Multisector","Urban development and management","D02","Grant",110,"STUDY ON THE MUNICIPAL CLIMATE FINANCE ROADMAP","Study on the Municipal Climate Finance Roadmap",0,0.5,"Not Targeted",519
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",0,0,18750,18750,NA,NA,18750,18750,46004,"Asian Development Bank",43010,"IV.2. Other Multisector","Multisector aid","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.75,"Significant",6417
2019,"Other multilateral","GCF","Green Climate Fund",1016,3,"Division of Mitigation and Adaptation",2019000058,"FP082","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Principal","Climate components","Climate components",6250,6250,0,0,NA,NA,6250,6250,46004,"Asian Development Bank",43010,"IV.2. Other Multisector","Multisector aid","C01","Debt instrument",421,"CATALYZING CLIMATE FINANCE (SHANDONG GREEN DEVELOPMENT FUND)","Catalyzing Climate Finance (Shandong Green Development Fund)",0,0.25,"Significant",6418
2019,"DAC member","United Kingdom","United Kingdom",12,1,"Department for International Development",2019000608,"300418-101","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,0.117522970903522,0.117522970903522,0,0,0.117522970903522,0.117522970903522,90000,"Other",23182,"II.3. Energy","Energy research","D02","Grant",110,"UK-INDIA PARTNERSHIP ON NATIONAL INFRASTRUCTURE INVESTMENT FUND (NIIF) - TECHNICAL ASSISTANCE","The NIIF sub-fund will use UK government finance to catalyse private sector investments from global UK investors, through the City of London to infrastructure projects in India.  To help India address a key constraint to inclusive growth by boosting investment into infrastructure - which will lead to growth, job creation and poverty reduction in India. The fund is fully attributed to climate change mitigation - ie low carbon development, reducing greenhouse gas emissions. The fund will primarily invest in sectors like Renewable Energy, Clean Transportation, Water Treatment, and Waste Mnagement.  The success of this intervention will lead to follow on private investment that will have a transformational impact on India's economic development.",NA,1,"Not targeted",16825
2019,"DAC member","United Kingdom","United Kingdom",12,1,"Department for International Development",2019000608,"300418-101","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,0.705137825421133,0.705137825421133,0,0,0.705137825421133,0.705137825421133,90000,"Other",23230,"II.3. Energy","Solar energy for centralised grids","D02","Grant",110,"UK-INDIA PARTNERSHIP ON NATIONAL INFRASTRUCTURE INVESTMENT FUND (NIIF) - TECHNICAL ASSISTANCE","The NIIF sub-fund will use UK government finance to catalyse private sector investments from global UK investors, through the City of London to infrastructure projects in India.  To help India address a key constraint to inclusive growth by boosting investment into infrastructure - which will lead to growth, job creation and poverty reduction in India. The fund is fully attributed to climate change mitigation - ie low carbon development, reducing greenhouse gas emissions. The fund will primarily invest in sectors like Renewable Energy, Clean Transportation, Water Treatment, and Waste Mnagement.  The success of this intervention will lead to follow on private investment that will have a transformational impact on India's economic development.",NA,1,"Not targeted",16826
2019,"DAC member","United Kingdom","United Kingdom",12,1,"Department for International Development",2019000608,"300418-101","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,0.176284456355283,0.176284456355283,0,0,0.176284456355283,0.176284456355283,90000,"Other",23630,"II.3. Energy","Electric power transmission and distribution (centralised grids)","D02","Grant",110,"UK-INDIA PARTNERSHIP ON NATIONAL INFRASTRUCTURE INVESTMENT FUND (NIIF) - TECHNICAL ASSISTANCE","The NIIF sub-fund will use UK government finance to catalyse private sector investments from global UK investors, through the City of London to infrastructure projects in India.  To help India address a key constraint to inclusive growth by boosting investment into infrastructure - which will lead to growth, job creation and poverty reduction in India. The fund is fully attributed to climate change mitigation - ie low carbon development, reducing greenhouse gas emissions. The fund will primarily invest in sectors like Renewable Energy, Clean Transportation, Water Treatment, and Waste Mnagement.  The success of this intervention will lead to follow on private investment that will have a transformational impact on India's economic development.",NA,1,"Not targeted",16827
2019,"DAC member","United States","United States",302,1,"Agency for International Development",NA,"76_56204","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,109.637,109.637,0,0,109.637,109.637,22000,"Donor country-based NGO",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"DEVELOPMENT VIA SUSTAINABLE ENERGY SOLUTIONS FOR POVERTY REDUCTION AND ENERGY ACCESS - SELCO FOUNDATION","Mechanism is focused on delivering sustainable clean energy solutions for the poor by catering to their diverse energy needs. It identifies specific needs and then invents/innovates, implements and replicates more than 100 sustainable energy interventions. Activities will lead to improved well-being, health, education and livelihood for more than 100,000 households/businesses over a period of 3-5 years.",NA,1,"Not targeted",18245
2019,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung",2019001794,"201320787","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1.57893,1.57893,0,0,1.57893,1.57893,11003,"Public corporations",21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"ENERGY EFFICIENCY IN URBAN MOBILITY","The conditions for the development of energy efficiency potentials in urban mobility of Brazilian cities are improved",NA,1,"Not targeted",7962
2019,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank",2019000885,"LN3867-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,108300,108300,NA,NA,108300,108300,12000,"Recipient Government",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Debt instrument",421,"SCALING UP DEMAND-SIDE ENERGY EFFICIENCY SECTOR PROJECT","The project is aligned with the following impact: emissions intensity of economy reduced. The project will have the following outcome: end-use energy efficiency in the project areas increased.",0,0.4332,"Significant",336
2019,"Multilateral development bank","EIB","EU institutions (EIB)",918,3,"European Investment Bank",20170225,"88862","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,111944.4755,111944.4755,0,0,111944.4755,111944.4755,90000,"Other",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Debt instrument",421,"BAOTOU ENERGY EFFICIENCY","The proposed operation aims at improving energy efficiency and reducing air pollution through the replacement of inefficient coal-fired boilers by more efficient gas-fired appliances and the construction of enabling infrastructure. The location is Baotou, Inner Mongolia.",0,1,NA,4215
2019,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung",2019001765,"201224781","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,17.20233,17.20233,0,0,17.20233,17.20233,11003,"Public corporations",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"RENEWABLE ENERGY AND ENERGY EFFICIENCY IN BRAZIL","The share of renewable energies and the use of energy efficiency in the Brazilian energy market are increased.",NA,1,"Significant",7961
2019,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung",2019002702,"201921428","Pakistan",665,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,9067.50252,9067.50252,0,0,9067.50252,9067.50252,11003,"Public corporations",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Grant",110,"RENEWABLE ENERGIES AND ENERGY EFFICIENCY","Preconditions for the dissemination of sustainable solutions for renewable energies and energy efficiency are improved.",NA,1,"Not targeted",8008
2019,"DAC member","Germany","Germany",5,1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung",2019008764,"201320852_FV-95095","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,159.38395,159.38395,0,0,159.38395,159.38395,11001,"Central Government",23210,"II.3. Energy","Energy generation, renewable sources - multiple technologies","C01","Grant",110,"STRENGTHENING QUALITY INFRASTRUCTURE (QI) FOR RENEWABLE ENERGIES AND ENERGY EFFICIENCY IN BRAZIL","To strengthen the national Quality Infrastructure (QI) for the development of renewable energies and the improvement of energy efficiency in Brazil. The project will aid in the sustainable establishment of renewables, ensure the security and quality of the energy supply and implement energy-efficiency measures that are based on reliable measurements. The project is structured in three technical components that correspond to the processes of energy generation, transmission and consumption, with one crosscutting component aimed at cooperation. Component 1 focusses on Quality Infrastructure for renewable energy sources. Component 2 is centred on the topic of grid stability and power quality. In Component 3, selected municipalities are supported in the process of modernizing their public lighting systems to include light emitting diodes (LEDs).",NA,1,"Not targeted",8148
2019,"DAC member","Germany","Germany",5,5,"Federal Ministry of Finance",2019013130,NA,"China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,331.97809,331.97809,0,0,331.97809,331.97809,11000,"Donor Government",23183,"II.3. Energy","Energy conservation and demand-side efficiency","C01","Grant",110,"ENERGY EFFICIENCY OF PRODUCTION PROCESS AND EQUIPMENT / ENERGY AUDITS","The main and economic energy saving- and environmental relief potentials in the Chinese industry are expected to open up on the basis of the joint implementation of energy diagnoses in Chinese industrial companies and energy efficiency actions with very efficient cross-sectional technology. The employees of the involved companies and other Chinese institutions will get advice and training. The framework conditions for energy efficient products and services will be improved.",NA,1,"Not targeted",8186
2019,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety",2019013513,"14_I_206_IDN_G_Green","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,559.72238,559.72238,0,0,559.72238,559.72238,11003,"Public corporations",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"NAMA (NATIONALLY APPROPRIATE MITIGATION ACTION) GREEN CHILLERS AND INDUSTRIAL ENERGY EFFICIENCY PROGRAMME","The project provides support to Indonesia, primarily the Ministry of Energy, in creating and implementing a reliable framework for fostering energy efficiency in the cooling and air-conditioning sector. Since demand for these technologies is rapidly increasing, improving their energy efficiency could make a key contribution to the national climate change mitigation goals.",NA,1,"Not targeted",8217
2019,"DAC member","United States","United States",302,1,"Agency for International Development",NA,"76_58447","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1000,1000,0,0,1000,1000,62000,"Private sector in recipient country",23110,"II.3. Energy","Energy policy and administrative management","C01","Grant",110,"MARKET INTEGRATION AND TRANSFORMATION FOR ENERGY EFFICIENCY (MAITREE) - ENVIRONMENTAL DESIGN SOLUTIONS (EDS)","India is in a massive construction phase, with 70 percent of the buildings yet to be built by 2030. This provides an opportunity for making buildings energy efficient. Similarly, the air conditioning industry is expected to grow at 11 percent by 2020. Investing in energy efficiency (EE) in buildings can yield substantial energy savings while supporting economic growth, and creating green jobs in areas like insulation, fenestration, air conditioning, building commissioning, energy auditing etc. The program will support sustainable market transformation for EE in buildings and air conditioning in India, through cutting edge technology, innovative business models, and end-user engagement. It will have three components: a) Sustainable air conditioning; b) EE in buildings; and c) Training and Outreach. The activities will be undertaken in partnership with the EE Services Limited, Bureau of Energy Efficiency, Ministry of Power, Indian Railways, and other partners.",NA,1,"Not targeted",18306
2019,"DAC member","Denmark","Denmark",3,1,"Ministry of Foreign Affairs",NA,"104.G.15-18.","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,3.05883764169616,3.05883764169616,0,0,3.05883764169616,3.05883764169616,12001,"Central Government",41010,"IV.1. General Environment Protection","Environmental policy and administrative management","C01","Grant",110,"CLIMATE ENVELOPE 2012: VIETNAM - LOW CARBON TRANSITION IN THE ENERGY EFFICIENCY SECTOR","Vietnam - low carbon transition in the energy efficiency sector",NA,1,"Not targeted",3845
