"Year","Provider Type","Provider","Provider (detailed)","Provider Code","Agency Code","Extending Agency","CRS Identification N°","Donor project N°","Recipient","Recipient Code","Recipient Region","Recipient Income Group (OECD Classification)","Concessionality","Climate objective (applies to Rio-marked data only) or climate component","Adaptation objective (applies to Rio-marked data only)","Mitigation objective (applies to Rio-marked data only)","Adaptation-related development finance - Commitment - Current USD thousand","Adaptation-related development finance - Commitment - 2019 USD thousand","Mitigation-related development finance - Commitment - Current USD thousand","Mitigation-related development finance - Commitment - 2019 USD thousand","Overlap - Commitment - Current USD thousand","Overlap - Commitment - 2019 USD thousand","Climate-related development finance - Commitment - Current USD thousand","Climate-related development finance - Commitment - 2019 USD thousand","Channel of Delivery Code","Channel of Delivery","Purpose Code","Sector (detailed)","Sub-sector","Development Cooperation Modality","Financial Instrument","Type of Finance","Project Title","Description","Coal-related Financing","Share of the underlying commitment, % (when available)","Gender","ID"
2015,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009900","15_I_235_CHN_G_Zusam","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,3882.41819,4180.86668236602,0,0,3882.41819,4180.86668236602,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"SINO-GERMAN COOPERATION ON LOW CARBON TRANSPORT","The objective of this project is to ensure that decision-makers in relevant government departments have strategies at their disposal that enable them to develop China's transport sector in a climate-friendly manner. The project advises the Chinese Government via several channels focusing on the development of a monitoring, reporting, verification (MRV) system for the transport sector. The implementation of pilot projects will lead to direct reductions in emissions, while the development of mitigation capacity will lead to indirect reductions.",NA,1,"Not targeted",2692
2015,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009907","15_I_253_IDN_A_Optim","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,1907.93123,2054.59734664818,0,0,1907.93123,2054.59734664818,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"REDUCING EMISSIONS THROUGH INTEGRATION AND OPTIMIZATION OF PUBLIC TRANSPORT IN JAKARTA","TransJakarta, the first and longest Bus rapid transit (BRT) system in Asia. The Institute for Transportation and Development Policy (ITDP) has been asked to help physically integrate it with the new Metro, optimize its services, improve NMT access, and help the city reform new zoning and parking regulations in the city. A goal is to upgrade TransJakarta to Gold Standard BRT and change zoning and parking regulations to be consistent with Gold Standard transit oriented development.ITDP has also been asked by the Mayor of Medan to develop a conceptual plan for the first full BRT outside Jakarta.",NA,1,"Not targeted",2698
2015,"DAC member","Germany","Germany",5,9,"Federal Min. for the Env., Nature Conservation and Nuclear Safety","2015009908","15_I_254_IND_A_India","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,2606.7665,2807.1533449512,0,0,2606.7665,2807.1533449512,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"INDIA SUSTAINABLE MOBILITY INITIATIVE","The Institute for Transportation and Development Policy (ITDP)'s India Sustainable Mobility Initiative will focus on the development of effective state-level urban transport policies and capacity building in the states of Gujarat, Maharashtra, and Tamil Nadu. The aim is that by the end of the grant, state policies will promote high quality BRT together with zoning and parking reform, to dramatically cut greenhouse gas emissions.",NA,1,"Not targeted",2699
2015,"DAC member","Germany","Germany",5,2,"Kreditanstalt für Wiederaufbau","2015133377","201266758","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,293954.5526,316551.369520332,0,0,293954.5526,316551.369520332,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Debt instrument",421,"SUSTAINABLE URBAN DEVELOPMENT / URBAN MOBILITY - FINANCING CLIMATE FRIENDLY URBAN MOBILITY","Sustainable urban development / urban mobility - financing climate friendly urban mobility investments with BNDES (Brazilian Development Bank)",NA,1,"Not targeted",2756
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2014003046","JICAID-P238","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,73444.8849319393,81927.8876752558,0,0,73444.8849319393,81927.8876752558,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"DELHI MASS RAPID TRANSPORT SYSTEM PROJECT PHASE 3 (II)","To Construct Delhi Metro",NA,1,"Significant",4373
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2015003038","JICATXXXIII-1","Thailand",764,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,297919.956893381,332330.192731551,0,0,297919.956893381,332330.192731551,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"MASS TRANSIT SYSTEM PROJECT IN BANGKOK (RED LINE) (II)","TO MITIGATE TRAFFIC CONGESTION",NA,1,"Significant",4381
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2015003039","JICATXXXIII-1","Thailand",764,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,17801.3145204678,19857.3950773603,0,0,17801.3145204678,19857.3950773603,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"MASS TRANSIT SYSTEM PROJECT IN BANGKOK (RED LINE) (II)","TO MITIGATE TRAFFIC CONGESTION",NA,1,"Significant",4382
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2015003082","JICAIP-569","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,15859.2026763128,17690.9661808052,0,0,15859.2026763128,17690.9661808052,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"ENGINEERING SERVICES FOR JAKARTA MASS RAPID TRANSIT EAST-WEST LINE PROJECT (PHASE I)","To enhance transportation capacity",NA,1,"Not targeted",4389
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2015003083","JICAIP-571","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,599129.107463247,668329.486317694,0,0,599129.107463247,668329.486317694,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"CONSTRUCTION OF JAKARTA MASS RAPID TRANSIT PROJECT (II)","To enhance transportation capacity",NA,1,"Not targeted",4390
2015,"DAC member","Japan","Japan",701,8,"Japanese International Co-operation Agency","2015003084","JICAIP-571","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,22495.4401693191,25093.6998145658,0,0,22495.4401693191,25093.6998145658,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"CONSTRUCTION OF JAKARTA MASS RAPID TRANSIT PROJECT (II)","To enhance transportation capacity",NA,1,"Not targeted",4391
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015003899","PPY BRA 1415","Brazil",431,"South America","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,74.0397249809015,67.2281365696012,0,0,74.0397249809015,67.2281365696012,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"UK EXPERTISE SUPPORTING IMPROVEMENTS TO URBAN MOBILITY","To help Brazilian cities of Salvador and Florianópolis implement high quality urban mobility infrastructure projects funded by Brazil's Growth Acceleration Programme, using UK expertise and technology on sustainable transport.",NA,1,NA,7144
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015004158","PPY CHN 1533","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,97.790679908327,88.7940249076695,0,0,97.790679908327,88.7940249076695,TRUE,NA,21010,"II.1. Transport & Storage","Transport policy and administrative management","C01","Grant",110,"SUPPORT THE APPLICATION OF BEST PRACTICE AS PART OF CHINA'S URBANISATION","Support the introduction of UK green travel strategies and practice in the development of China's urban transport policy framework",NA,1,NA,7167
2015,"DAC member","United Kingdom","United Kingdom",12,3,"Foreign & Commonwealth Office","2015004307","PPY CHN 1594","China (People's Republic of)",730,"Far East Asia","UMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,114.737967914439,104.182177589937,0,0,114.737967914439,104.182177589937,TRUE,NA,21050,"II.1. Transport & Storage","Air transport","C01","Grant",110,"SUPPORTING GREEN AIRPORT CONSTRUCTION  IN CHINA","This project aims to promote green airport construction in China through introducing UK green airport related policy, standards, rules, regulations and business solutions.",NA,1,NA,7178
2015,"Multilateral development bank","WB","International Bank for Reconstruction and Development",901,1,"IBRD","2015025631","P148071.IBRD85340.crs1","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",750,776.320912102131,0,0,NA,0,750,776.320912102131,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"GUIZHOU TONGREN RURAL TRANSPORT PROJECT",NA,"0",0.01,NA,8368
2015,"Multilateral development bank","WB","International Bank for Reconstruction and Development",901,1,"IBRD","2015025822","P148527.IBRD85680.crs1","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,140000,144913.236925731,NA,0,140000,144913.236925731,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"URUMQI URBAN TRANSPORT PROJECT II",NA,"0",1,NA,8371
2015,"Multilateral development bank","WB","International Bank for Reconstruction and Development",901,1,"IBRD","2015026869","P150158.IBRD85130.crs1","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,650000,672811.45715518,NA,0,650000,672811.45715518,TRUE,NA,21030,"II.1. Transport and Storage","Rail transport","C01","Debt instrument",421,"EASTERN DEDICATED FREIGHT CORRIDOR-3",NA,"0",1,NA,8383
2015,"Multilateral development bank","WB","International Development Association",905,1,"IDA","2015017150","P126507.IDA56540.crs1","Viet Nam",769,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,95232,98574.1241350802,NA,0,95232,98574.1241350802,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"HO CHI MINH CITY GREEN TRANSPORT DEVELOPMENT",NA,"0",0.8,NA,8424
2015,"Multilateral development bank","WB","International Development Association",905,1,"IDA","2015017150","P126507.IDA56540.crs1","Viet Nam",769,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",23808,24643.53103377,0,0,NA,0,23808,24643.53103377,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"HO CHI MINH CITY GREEN TRANSPORT DEVELOPMENT",NA,"0",0.2,NA,8425
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000073/d-6","TA8957-VIE","Viet Nam",769,"Asia","LMICs","Concessional and developmental","Climate components","Climate components","Climate components",20.0825,20.9312190708863,0,0,NA,0,20.0825,20.9312190708863,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","D02","Grant",110,"BASIC INFRASTRUCTURE FOR INCLUSIVE GROWTH IN NORTHEAST PROVINCES","BASIC INFRASTRUCTURE FOR INCLUSIVE GROWTH IN NORTHEAST PROVINCES","0",0.0554,NA,8671
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000115/g","LN3356-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,16812.856022,17523.3946273498,NA,0,16812.856022,17523.3946273498,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"BEIJING-TIANJIN-HEBEI AIR QUALITY IMPROVEMENT-HEBEI POLICY REFORMS PROGRAM","Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program","0",0.3923,NA,8689
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000159/a","LN3281-PRC","China (People's Republic of)",730,"Asia","UMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2100,2188.74941112218,0,0,NA,0,2100,2188.74941112218,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"JIANGXI PINGXIANG INTEGRATED RURAL-URBAN INFRASTRUCTURE DEVELOPMENT","Jiangxi Pingxiang Integrated Rural-Urban Infrastructure Development","0",0.042,NA,8704
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000237/a","LN3276-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",9300,9693.03310639824,0,0,NA,0,9300,9693.03310639824,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"SECOND JHARKHAND STATE ROAD","Second Jharkhand State Road","0",0.093,NA,8723
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000237/b","LN3276-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",9300,9693.03310639824,0,0,NA,0,9300,9693.03310639824,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"SECOND JHARKHAND STATE ROAD","Second Jharkhand State Road","0",0.093,NA,8724
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000265","LN3395-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",12000,12507.1394921268,0,0,NA,0,12000,12507.1394921268,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"NATIONAL MOTORWAY M-4 GOJRA–SHORKOT–KHANEWAL SECTION - ADDITIONAL FINANCING","National Motorway M-4 Gojra–Shorkot–Khanewal Section - Additional Financing","0",0.12,NA,8726
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000300/h-6","TA9142-PRC","China (People's Republic of)",730,"Asia","UMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,55.56,57.9080558485469,NA,0,55.56,57.9080558485469,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","D02","Grant",110,"GREEN FINANCING PLATFORM FOR A CCELERATED AIR QUALITY IMPROVE MENT IN","Green Financing Platform for A ccelerated Air Quality Improve ment in","0",1,NA,8742
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000300/i-6","TA9142-PRC","China (People's Republic of)",730,"Asia","UMICs","Concessional and developmental","Climate components","Climate components","Climate components",0,0,55.56,57.9080558485469,NA,0,55.56,57.9080558485469,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","D02","Grant",110,"GREEN FINANCING PLATFORM FOR A CCELERATED AIR QUALITY IMPROVE MENT IN","Green Financing Platform for A ccelerated Air Quality Improve ment in","0",1,NA,8743
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000500","LN3363-VIE","Viet Nam",769,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,59000,61493.4358362899,NA,0,59000,61493.4358362899,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"HA NOI METRO RAIL SYSTEM (LINE 3: NHON-HA NOI STATION SECTION) – ADDITIONAL FINANCING","Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section) – Additional Financing","0",1,NA,8826
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000516","LN3396-IND","India",645,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",2e+05,208452.324868779,0,0,NA,0,2e+05,208452.324868779,TRUE,NA,21020,"II.1. Transport and Storage","Road transport","C01","Debt instrument",421,"BIHAR NEW GANGA BRIDGE","Bihar New Ganga Bridge","0",0.4,NA,8828
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000536","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,66.606598,69.4215010235009,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8833
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000536","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",66.606598,69.4215010235009,0,0,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8834
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000537","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,66.606598,69.4215010235009,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8835
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000537","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",66.606598,69.4215010235009,0,0,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8836
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000538","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",0,0,66.606598,69.4215010235009,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8837
2016,"Multilateral development bank","AsDB","Asian Development Bank",915,1,"Asian Development Bank","2016000538","LN6008-PAK","Pakistan",665,"Asia","LMICs","Not concessional or not primarily developmental","Climate components","Climate components","Climate components",66.606598,69.4215010235009,0,0,NA,0,66.606598,69.4215010235009,TRUE,NA,21010,"II.1. Transport and Storage","Transport policy and administrative management","C01","Debt instrument",421,"KARACHI BUS RAPID TRANSIT PROJECT","Karachi Bus Rapid Transit Project","0",0.0206,NA,8838
2016,"DAC member","Australia","Australia",801,5,"Australian Government","200722100225","INH582","Indonesia",738,"Far East Asia","LMICs","Concessional and developmental","Principal","Principal","Principal",21509.1652419535,0,21509.1652419535,0,21509.1652419535,21962.7792127465,21509.1652419535,21962.7792127465,TRUE,NA,21020,"II.1. Transport & Storage","Road transport","C01","Grant",110,"INDONESIA INFRASTRUCTURE INITIATIVE","The Australian Government launched the Infrastructure for Growth Initiative (IFGI) in 2007 to help regional partners address their pressing infrastructure needs. IFGI is directed towards helping regional partner government improve their infrastructure policies and finance high-priority infrastructure in conjunction with other international donors. The Indonesia Infrastructure Initiative (IndII) has been developed within the IFGI framework and is supported by funding under IFGI. and aims to support national and sub-national governments' efforts to address constraints on infrastructure investment and enable efficient and effective infrastructure service delivery. The total value of this initiative is $178.6 million over 8 years, starting 2007-08.",NA,1,"Principal",8896
2016,"Multilateral development bank","EIB","EU institutions (EIB)",918,3,"European Investment Bank","20140329","20140329","India",645,"Asia","LMICs","Not specified","Climate components","Climate components","Climate components",0,0,221165.542408493,233247.083581224,0,0,221165.542408493,233247.083581224,NA,NA,21030,"II.1. Transport and Storage","Rail transport",NA,"Debt instrument",421,"LUCKNOW METRO RAIL PROJECT","Construction of a 23 km metro line and purchase of a fleet of about 80 metro cars in Lucknow, Uttar Pradesh, in northern India.","0",1,NA,10169
2016,"DAC member","France","France",4,3,"French Development Agency","2016104000","CVN116401","Viet Nam",769,"Far East Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,76302.11213093,79348.4325555901,0,0,76302.11213093,79348.4325555901,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"CONSTRUCTION DE LA LIGNE 3 MÉTRO HANOI","Prêt n°3 Métro Hanoi",NA,1,"Significant",10610
2016,"DAC member","France","France",4,3,"French Development Agency","2016121700","CIN107501","India",645,"South & Central Asia","LMICs","Concessional and developmental","Principal","Not targeted/Not screened","Principal",0,0,143757.60256552,149497.046843865,0,0,143757.60256552,149497.046843865,TRUE,NA,21030,"II.1. Transport & Storage","Rail transport","C01","Debt instrument",421,"REPUBLIQUE DE L'INDE","Financement du projet de métro à Nagpur et mise en place d'un programme pilote d'assistance technique pour une planification de la mobilité urbaine sobre en carbone dans trois villes indiennes.",NA,1,"Not targeted",10646
